id,product_name,image_name,Description,category,color_name,color_hex,net_weight_grams,top_pick,whats_new
15,Auto Eyebrow Pen,autoEyebrowPen.jpg,"This eyebrow pen comes in twist form, so no more messing around with sharpeners. Ideal for enhancing your brows to achieve that perfect arch effect. It comes in various brown shades for natural blending.",EYES,Black,000000,0.25g,,
15,,,,EYES,Dark Brown,2a1206,0.25g,,
16,Dazzling Eyeshadow,,Dazzle the people around you with our Dazzling Eyeshadow. This roll-on eyeshadow puts a stunning shimmer on your lids for an instant star-making impact. The pink diamond shade may also we used to highlight your cheeks.,EYES,Ice Crystal,d8dbdc,3g,,
16,,,,EYES,Pink Diamond,d890a8,3g,,
17,Defining Eyeliner,definingEyeliner.jpg,"This twist pen liner is intensely colored and is perfect for giving definition to your eyes. It glides smoothly and gently onto your skin, and is not heavy on the waterline.  You can even use this product to touch up your eyebrows!",EYES,Black ,000000,0.2g,,
17,,,,EYES,Dark Brown,2a1206,0.2g,,
18,Dipliner,dipliner.jpg,"This smudge-proof, richly colored liner is easy to use—the pointed tip of the short applicator makes gliding the product easy even for make-up newbies. It has a shimmery finish, is gentle, and dries quickly in under a minute.  So say goodbye  to fanning your eyes in the hopes that you won’t end up with eyeliner everywhere. It’s available in black and brown for both nighttime and daytime.",EYES,Black,000000,8g,,
18,,,,EYES,Brown,2a1206,8g,,
19,Double-Up Mascara,doubleUpMascara.jpg,"This mascara highlights your eyes like no other. Its special formula is designed to make your lashes two times longer and stronger the moment you apply it without weighing your eyes down. This mascara also lasts for a long time without running or smudging, and the unique, fine-bristled wand lets you glide this product on easily without having to worry about clumping. No wonder it’s considered one of the best, if not the best, mascaras around by local makeup gurus. For best results, curl your lashes with an eyelash curler first. Then, starting at the base of your upper lashes, gently draw the wand upward until you reach the tips. Hold the wand vertically and run it across your lower lashes to color them.",EYES,Black,000000,8g,TRUE,
20,Duo Eyebrow Powder,duoEyebrow.jpg,"Full brows are known to make people look younger, and this duo powder is perfect for adding that punch to your natural brows while blending in perfectly to give your face that perfect definition. This product is best applied wet for longer-lasting effects",EYES,#1,894c39+563e36 ,3.5g,,
20,,,,EYES,#2,7b5f56+433d3b,3.5g,,
21,Duo Eye Enhancer,duoEyeEnhancer.jpg,"This dual-purpose eye pencil is gentle on the skin during application, and doesn’t feel greasy despite its creamy texture.  While it’s got its glitter on, don’t let that stop you from using it on your brows—the glittery element actually helps make your brows look fuller! . This eye enhancer comes in five natural shades that will complement any brow color, hair color, and skin tone, as well as a brush for the brows.",EYES,Blonde,916e40,1.65g,,
21,,,,EYES,Dark Copper,593e29,1.65g,,
21,,,,EYES,Honey Blonde,7e6341,1.65g,,
21,,,,EYES,Light Brown,3f1a08,1.65g,,
21,,,,EYES,Mahogany Brown,4d2b10,1.65g,,
21,,,,EYES,Natural Black,000000,1.65g,,
22,Eyebrow Gel,eyebrowGel.jpg,"This eyebrow gel is perfect for adding fullness to your brows. It comes in six natural shades to complement your hair and skin. The mascara-like applicator keeps you from putting on too much product by accident, and it’s smudge-proof too.",EYES,Blonde,e9af5b,8g,,
22,,,,EYES,Clear,CLEAR,8g,,
22,,,,EYES,Dark Brown,371707,8g,,
22,,,,EYES,Light Brown,3f1a08,8g,,
22,,,,EYES,Reddish Brown,431706,8g,,
22,,,,EYES,Copper Brown,,8g,,
23,Eyebrow Pencil,eyeBrowPencil.jpg,"This bestseller eyebrow pencil is great for adding that extra, natural intensity to your look. Choose from four rich, black and brown shades and let your eyes do the talking. This product also comes with a brush cap to get some extra fullness.",EYES,Black,000000,1.4g,,
23,,,,EYES,Dark Brown,371707,1.4g,,
23,,,,EYES,Chocolate Brown,2a1206,1.4g,,
23,,,,EYES,Light Brown,3f1a08,1.4g,,
24,Eyeliner with Foam Tip,eyelinerFoamTip.jpg,"Looking to get that smoky eye effect for a night on the town? Look no further than this eyeliner pencil. It comes with a soft-blending tip and a foam brush to help you get that sexy, modern gaze. ",EYES,Black,000000,1.4g,,
24,,,,EYES,Dark Brown,3e2a20,1.4g,,
24,,,,EYES,White,ffffff,1.4g,,
25,Eyeshadow Bar,eyeShadowBar.jpg,"This four-color palette is a great way to define your eyes quickly—just follow the instructions and you’re guaranteed to end up with a stunning look. It’s also an excellent introduction into the fine art of eye makeup, including bases, coloring, and  contouring. You can choose from three palettes that range from subtle to bright in color.",EYES,#1,dcdf8c+a8651d+6a291d+432c27,3g,,
25,,,,EYES,#2,f1db9f+ff8cbf+c23071+582736,3g,,
