id,product_name,image_name,Description,category,color_name,color_hex,net_weight_grams,top_pick,whats_new,,
1,Cake Foundation,cakeFoundation.jpg,"Our classic cake foundation gives you a smooth, shine-free complexion. It also contains SPF +20 PA+++ to protect your skin from intense sunlight—this is a beauty product that packs a punch!  Apply any of the six available shades with your fave Fashion 21 sponge and you're ready to face the day.",FACE,#1,fed8b1,35g,,,,
1,,,,FACE,#2,f9cca3,35g,,,,
1,,,,FACE,#3,efb992,35g,,,,
1,,,,FACE,#4,b16b3c,35g,,,,
1,,,,FACE,#5,b46836,35g,,,,
1,,,,FACE,#6,e6c48e,35g,,,,
2,Loose Powder,loosePowder.jpg,"This loose powder is perfect both on its own and as a finish to your makeup routine. It guards your skin from the elements with SPF 50+ and keeps you fresh as the day wears on. It’s like a powder sunblock! Pick the perfect shade from the three available ones, and step into the light with no fear!",FACE,#1,e2be9a,30g,,,,
2,,,,FACE,#4,e09c7f,30g,,,,
2,,,,FACE,#6,f3b59b,30g,,,,
3,Perfect Stick,perfectStick.jpg,"Early days are the worst, especially when you’ve had a night out. That’s why our Perfect Stick is perfect for times like this—a swipe of this foundation and concealer combo will banish the bags under your eyes and make you look like you never lost a second of sleep. It also works perfectly as a foundation for the whole face to even out your skintone. It contains SPF 50+ to battle the sun. And since this product is in stick form, you can bring it with you anywhere and never have to worry about coverage again.  It comes in six easy-blending shades for that perfect match to your skin.",FACE,Almond,ebbe8e,11g,,,,
3,,,,FACE,Beige,fbdbb6,11g,,,,
3,,,,FACE,Ivory,fad5bd,11g,,,,
3,,,,FACE,Light Beige,f3d2b2,11g,,,,
3,,,,FACE,Natural,f5d2b0,11g,,,,
3,,,,FACE,Warm Natural,debd9c,11g,,,,
4,Perfect Stick with Tea-Tree Oil,perfectStickTeaTree.jpg,"Our already-Perfect Stick gets an extra boost of perfection with the addition of tea-tree oil to challenge facial blemishes. Goodbye, pimples and acne! This is aside from the existing benefits of SPF 50+. This stick is perfect for normal to oily skin, and comes in four tea-themed shades. It is best finished with Fashion 21 Loose Powder or the Pressed Powder with Cucumber Extract.",FACE,Milk Tea,f1d297,11g,,,,
4,,,,FACE,Irish Tea,e9a892,11g,,,,
4,,,,FACE,Warm Tea,cb9361,11g,,,,
4,,,,FACE,Okinawa Tea,,11g,,,,
5,Pressed Powder with Cucumber Extract,pressedPowderCucumber.jpg,"This light, super-smooth pressed powder is the perfect thing to complete your look; its semi-matte finish and translucence make your face look fresh with a natural, healthy glow. The cucumber extract also hydrates your skin and keeps dryness at bay. This powder comes in three different shades, so no matter what your skin tone is, you can benefit from its amazing effects",FACE,#1,f4c0a1,11g,,,,
5,,,,FACE,#2,f4ac81,11g,,,,
5,,,,FACE,#3,dd9c76,11g,,,,
6,Two-Way Cake (Classic),twoWayCakeClassic.jpg,"Our two-way cake is a silky-smooth pressed powder when dry, but just add water and you’ve got a foundation that provides excellent coverage without caking. It also comes with SPF 35+ to help protect delicate skin from the harsh tropical sun and keeps you looking fresh all day long. You’re bound to find a match for your skin from any one of the four different shades.",FACE,#1,f6dbaa,11g,,,,
6,,,,FACE,#2,fad9a8,11g,,,,
6,,,,FACE,#3,fad19d,11g,,,,
6,,,,FACE,#4,f1c190,11g,,,,
7,Two-Way Cake (Classic) (Refill),,Can’t get enough of our Fashion 21 Classic TWC? Replenish with our refill packs and do your part for the environment by reusing your container.,FACE,#1,f6dbaa,11g,,,,
